seller_id,total_orders,on_time_rate,avg_latency_days,p95_latency,avg_review_score,total_revenue_brl,seller_state,risk_tier
001cca7ae9ae17fb1caed9dfb1094831,195,0.9444444444444444,12.628205128205128,25.0,3.965367965367965,47557.950000000004,ES,Top Performer
002100f778ceb8431b7a1020ff7ab48f,50,0.8333333333333334,15.777777777777779,34.04999999999998,4.037037037037037,2412.64,SP,Acceptable
004c9cd9d87a3c30c522c48c4fc07416,156,0.9226190476190477,13.958333333333334,29.650000000000006,4.156626506024097,27640.43,SP,Top Performer
00720abe85ba0859807595bbf045a33b,13,0.9230769230769231,8.153846153846153,20.5,3.6538461538461537,3118.4,SP,Top Performer
00ee68308b45bc5e2660cd833c3f81cc,135,0.9186046511627907,8.732558139534884,23.44999999999999,4.3274853801169595,37126.37,SP,Acceptable
00fc707aaaad2d31347cf883cd2dfe10,103,0.9555555555555556,15.348148148148148,30.0,3.791044776119403,25822.96,PR,Top Performer
013900e863eace745d3ec7614cab5b1a,23,1.0,11.038461538461538,22.25,4.730769230769231,2659.19,PR,Top Performer
014c0679dd340a0e338872e7ec85666a,14,0.8666666666666667,18.533333333333335,30.29999999999999,3.6666666666666665,8423.67,MG,Acceptable
014d9a685fd57276679edd00e07089e5,11,1.0,8.5,13.699999999999996,3.8333333333333335,1317.47,PR,Top Performer
0176f73cc1195f367f7b32db1e5b3aa8,37,0.8947368421052632,12.947368421052632,36.89999999999999,4.052631578947368,6416.22,SP,Acceptable
01bcc9d254a0143f0ce9791b960b2a47,10,1.0,12.4,25.0,4.4,1644.69,GO,Top Performer
01cf7e3d21494c41fb86034f2e714fa1,59,0.9538461538461539,11.076923076923077,21.39999999999999,4.1875,12856.050000000001,PR,Top Performer
01fd077212124329bac32490e8ef80d9,31,0.9743589743589743,7.666666666666667,15.100000000000001,4.3076923076923075,3247.48,SP,Top Performer
01fdefa7697d26ad920e9e0346d4bd1b,128,0.9384615384615385,10.276923076923078,28.0,4.372093023255814,18075.39,PR,Top Performer
0241d4d5d36f10f80c644447315af0bd,238,0.943089430894309,10.463414634146341,25.0,4.3061224489795915,42183.6,PR,Top Performer
0249d282d911d23cb8b869ab49c99f53,11,0.8181818181818182,9.818181818181818,23.5,4.2727272727272725,570.03,SP,Acceptable
02c988090b766852e088c69d7fb3b551,12,1.0,8.0625,18.0,4.6875,2142.7400000000002,SP,Top Performer
02d35243ea2e497335cd0f076b45675d,14,0.625,25.4375,44.0,2.6875,8408.63,RN,High Risk
02dcd3e8e25bee036e32512bcf175493,13,0.6666666666666666,16.866666666666667,36.99999999999998,3.933333333333333,2027.55,MG,At Risk
02ecc2a19303f05e59ce133fd923fff7,21,1.0,10.375,21.849999999999998,4.541666666666667,7844.22,SP,Top Performer
02f5837340d7eb4f653d676c7256523a,30,0.9666666666666667,9.166666666666666,16.549999999999997,4.833333333333333,4463.88,PR,Top Performer
02f623a8eb246f3c5f7c2f96462654e6,44,0.9090909090909091,8.068181818181818,20.700000000000003,4.558139534883721,7207.63,SP,Acceptable
0417b067eeab773d2f7061a726dc477f,13,0.6923076923076923,17.307692307692307,37.79999999999996,3.923076923076923,2501.75,SC,At Risk
04308b1ee57b6625f47df1d56f00eedf,92,0.8804347826086957,18.42391304347826,32.0,3.9456521739130435,61940.62,SC,Acceptable
0432ead42b6c8a0bdf68154add917fdf,82,0.9655172413793104,8.333333333333334,22.10000000000001,4.551724137931035,10210.48,SP,Top Performer
048c2757535328e0d7dac690ad3c0aae,50,0.86,18.04,40.55,4.244897959183674,10312.41,SP,Acceptable
04aa0a1c5ce6b222003403a3e11c3cc0,11,0.8823529411764706,15.882352941176471,29.79999999999999,3.5294117647058822,14477.19,SP,Acceptable
04aba03279157f6d4e0fe8ccaf21963c,15,0.9333333333333333,11.2,33.69999999999998,4.533333333333333,2735.23,RJ,Top Performer
04e38a233f726ef161074ab1c9b0399a,19,0.875,11.083333333333334,19.699999999999996,4.166666666666667,2004.73,SP,Acceptable
0509040ea3fe50071181bbc359eb7738,87,0.9375,10.979166666666666,24.75,4.494736842105263,6030.21,MG,Top Performer
054694fa03fe82cec4b7551487331d74,19,0.75,21.85,44.55000000000001,3.3,9295.05,SP,At Risk
056b4ada5bbc2c50cc7842547dda6b51,63,0.90625,10.46875,26.849999999999994,4.142857142857143,13156.53,RJ,Acceptable
058cb5aeb36d7c0fcae20fc85d5e0a59,11,0.9166666666666666,9.333333333333334,19.45,3.5833333333333335,2102.4,RJ,Acceptable
058fd0aa2bfdb2274e05e1ae971dabb6,60,0.9206349206349206,9.777777777777779,24.9,4.380952380952381,9239.01,SP,Top Performer
